;taisaadress;x;y
0;;;
1;;;
2;;;
3;;;
4;Tartu maakond, Tartu linn, Narva mnt 177;58.400748757198;26.740492162069
5;;;
6;;;
7;;;
8;;;
9;;;
10;;;
11;;;
12;;;
13;;;
14;;;
15;;;
16;;;
17;;;
18;;;
19;;;
20;Tartu maakond, Haaslava vald, Haaslava küla, Kalda tee 1;58.321007296422;26.822427016619
21;Tartu maakond, Tartu linn, Ilmatsalu tn 11;58.378302943357;26.685064805168
22;;;
23;;;
24;;;
25;Tartu maakond, Alatskivi vald, Alatskivi alevik, Lossi tn 2;58.601409726264;27.131322740944
26;;;
27;Tartu maakond, Tartu linn, Raeremmelga tn 7;58.343020950687;26.77177340039
28;;;
29;Tartu maakond, Laeva vald, Kärevere küla, Pihlaka tee 8;58.429900914073;26.489160662194
30;Tartu maakond, Tartu linn, Ilmatsalu tn 11;58.378302943357;26.685064805168
31;Tartu maakond, Tartu linn, Tamme pst 36;58.361869702725;26.703715015322
32;Tartu maakond, Tartu linn, Riia tn 18;58.372113599466;26.719774900331
33;;;
34;;;
35;;;
36;;;
37;;;
38;;;
39;;;
40;;;
41;Tartu maakond, Tartu linn, J. Kuperjanovi tn 8;58.375815686234;26.713868627009
42;;;
43;;;
44;;;
45;;;
46;Tartu maakond, Tartu linn, Aardla tn 31;58.355253441592;26.711464445071
47;;;
48;;;
49;;;
50;;;
51;;;
52;Tartu maakond, Tartu linn, Kvissentali tee 34;58.401066828565;26.696421617378
53;Tartu maakond, Tartu linn, Riia tn 18;58.372113599466;26.719774900331
54;Tartu maakond, Tartu linn, Vanemuise tn 21a;58.37604559055;26.71953118243
55;Tartu maakond, Tartu linn, Kroonuaia tn 38;58.384105955309;26.716150135265
56;;;
57;Tartu maakond, Tartu linn, Roosi tn 83;58.390891865318;26.741299199466
58;;;
59;;;
60;;;
61;;;
62;;;
63;;;
64;;;
65;;;
66;;;
67;;;
68;Tartu maakond, Tartu linn, J. Kuperjanovi tn 8;58.375815686234;26.713868627009
69;Tartu maakond, Tartu linn, Rebase tn 23a;58.367864427873;26.743645803947
70;;;
71;Tartu maakond, Tartu linn, Riia tn 1;58.377908313432;26.727407191688
72;Tartu maakond, Tartu linn, Kastani tn 43a;58.373927097976;26.712252112697
73;;;
74;;;
75;Tartu maakond, Tartu linn, Vanemuise tn 21a;58.37604559055;26.71953118243
76;Tartu maakond, Tartu linn, Kroonuaia tn 38;58.384105955309;26.716150135265
77;;;
78;;;
79;;;
80;;;
81;;;
82;;;
83;;;
84;Tartu maakond, Tartu linn, Raatuse tn 118;58.390567068037;26.749299866983
85;Tartu maakond, Tartu linn, Kastani tn 43a;58.373927097976;26.712252112697
86;Tartu maakond, Rõngu vald, Käärdi alevik, Lina tn 4;58.214074837798;26.398881929807
87;Tartu maakond, Elva linn, Paju tn 1;58.223053096761;26.403952261776
88;;;
